	precision	recall	f1-score	support
-1	1.0	0.875	0.9333333333333333	8.0
0	1.0	1.0	1.0	10.0
1	0.8888888888888888	1.0	0.9411764705882353	8.0
2	1.0	0.5	0.6666666666666666	4.0
3	1.0	1.0	1.0	8.0
4	0.8125	1.0	0.896551724137931	13.0
5	1.0	0.6	0.75	5.0
6	0.7857142857142857	1.0	0.88	11.0
7	0.0	0.0	0.0	2.0
accuracy	0.8985507246376812	0.8985507246376812	0.8985507246376812	0.8985507246376812
macro avg	0.831900352733686	0.7749999999999999	0.7853031327473519	69.0
weighted avg	0.8886444674488153	0.8985507246376812	0.8804046016207583	69.0
