	precision	recall	f1-score	support
-1	0.4666666666666667	0.5833333333333334	0.5185185185185185	12.0
0	1.0	1.0	1.0	10.0
1	1.0	1.0	1.0	8.0
2	1.0	0.5	0.6666666666666666	4.0
3	0.0	0.0	0.0	3.0
4	0.8888888888888888	1.0	0.9411764705882353	8.0
5	1.0	0.8	0.8888888888888888	5.0
6	0.7333333333333333	1.0	0.8461538461538461	11.0
7	0.5	0.375	0.42857142857142855	8.0
accuracy	0.7681159420289855	0.7681159420289855	0.7681159420289855	0.7681159420289855
macro avg	0.7320987654320987	0.6953703703703703	0.6988862021541761	69.0
weighted avg	0.750402576489533	0.7681159420289855	0.7478117222362747	69.0
