	precision	recall	f1-score	support
0	0.5	0.16666666666666666	0.25	6.0
1	0.6428571428571429	1.0	0.782608695652174	9.0
2	0.7647058823529411	1.0	0.8666666666666667	13.0
3	1.0	1.0	1.0	10.0
4	1.0	1.0	1.0	8.0
5	0.8	0.6666666666666666	0.7272727272727273	6.0
6	1.0	0.6	0.75	5.0
7	1.0	0.25	0.4	4.0
8	0.8888888888888888	1.0	0.9411764705882353	8.0
accuracy	0.8260869565217391	0.8260869565217391	0.8260869565217391	0.8260869565217391
macro avg	0.8440502126776637	0.7425925925925926	0.7464138400199781	69.0
weighted avg	0.8353333603972991	0.8260869565217391	0.7978723631286736	69.0
