	precision	recall	f1-score	support
0	1.0	0.8	0.8888888888888888	10.0
1	0.8	1.0	0.8888888888888888	8.0
2	0.6666666666666666	0.9629629629629629	0.7878787878787878	27.0
3	1.0	1.0	1.0	8.0
4	0.0	0.0	0.0	5.0
5	0.5	0.2	0.2857142857142857	5.0
6	1.0	0.5	0.6666666666666666	4.0
7	0.0	0.0	0.0	2.0
accuracy	0.7681159420289855	0.7681159420289855	0.7681159420289855	0.7681159420289855
macro avg	0.6208333333333333	0.5578703703703703	0.5647546897546898	69.0
weighted avg	0.7086956521739131	0.7681159420289855	0.7154777589560198	69.0
