	precision	recall	f1-score	support
-1	0.45454545454545453	0.7692307692307693	0.5714285714285714	13.0
0	1.0	1.0	1.0	8.0
1	1.0	1.0	1.0	10.0
2	1.0	0.75	0.8571428571428571	4.0
3	0.6666666666666666	1.0	0.8	4.0
4	0.0	0.0	0.0	3.0
5	1.0	1.0	1.0	4.0
6	0.0	0.0	0.0	3.0
7	0.0	0.0	0.0	2.0
8	1.0	0.25	0.4	4.0
9	0.0	0.0	0.0	3.0
10	0.7857142857142857	1.0	0.88	11.0
accuracy	0.7391304347826086	0.7391304347826086	0.7391304347826086	0.7391304347826086
macro avg	0.5755772005772005	0.5641025641025641	0.5423809523809524	69.0
weighted avg	0.6843277495451409	0.7391304347826086	0.6860455486542443	69.0
