	precision	recall	f1-score	support
0	0.9473684210526315	1.0	0.972972972972973	18.0
1	1.0	1.0	1.0	8.0
2	0.8888888888888888	0.9411764705882353	0.9142857142857143	17.0
3	1.0	0.75	0.8571428571428571	4.0
4	1.0	1.0	1.0	8.0
5	1.0	0.75	0.8571428571428571	4.0
6	1.0	1.0	1.0	10.0
accuracy	0.9565217391304348	0.9565217391304348	0.9565217391304348	0.9565217391304348
macro avg	0.9766081871345029	0.9201680672268908	0.9430777716492001	69.0
weighted avg	0.9588948215950505	0.9565217391304348	0.955268311790051	69.0
