	precision	recall	f1-score	support
-1	0.0	0.0	0.0	2.0
0	0.0	0.0	0.0	2.0
1	1.0	1.0	1.0	8.0
2	1.0	0.25	0.4	4.0
3	0.6666666666666666	1.0	0.8	8.0
4	1.0	1.0	1.0	8.0
5	0.0	0.0	0.0	2.0
6	0.5294117647058824	0.9473684210526315	0.6792452830188679	19.0
7	1.0	0.5	0.6666666666666666	4.0
8	0.0	0.0	0.0	5.0
9	0.0	0.0	0.0	2.0
10	0.0	0.0	0.0	3.0
11	0.0	0.0	0.0	2.0
accuracy	0.6521739130434783	0.6521739130434783	0.6521739130434783	0.6521739130434783
macro avg	0.39969834087481143	0.36133603238866396	0.349685534591195	69.0
weighted avg	0.570900824097755	0.6521739130434783	0.5735119861452922	69.0
