	precision	recall	f1-score	support
0	1.0	0.8	0.8888888888888888	10.0
1	0.8	1.0	0.8888888888888888	8.0
2	0.7027027027027027	0.9629629629629629	0.8125	27.0
3	1.0	1.0	1.0	8.0
4	1.0	0.4	0.5714285714285714	5.0
5	0.6666666666666666	0.4	0.5	5.0
6	1.0	0.25	0.4	4.0
7	0.0	0.0	0.0	2.0
accuracy	0.7971014492753623	0.7971014492753623	0.7971014492753623	0.7971014492753623
macro avg	0.7711711711711711	0.6016203703703703	0.6327132936507937	69.0
weighted avg	0.8073377725551638	0.7971014492753623	0.7665890269151139	69.0
