	precision	recall	f1-score	support
-1	0.0	0.0	0.0	2.0
0	0.0	0.0	0.0	2.0
1	1.0	1.0	1.0	8.0
2	1.0	1.0	1.0	4.0
3	0.6666666666666666	1.0	0.8	8.0
4	1.0	1.0	1.0	8.0
5	0.0	0.0	0.0	2.0
6	0.6206896551724138	0.9473684210526315	0.75	19.0
7	0.5	0.5	0.5	4.0
8	0.0	0.0	0.0	5.0
9	0.0	0.0	0.0	2.0
10	0.0	0.0	0.0	3.0
11	0.0	0.0	0.0	2.0
accuracy	0.6956521739130435	0.6956521739130435	0.6956521739130435	0.6956521739130435
macro avg	0.3682581786030062	0.4190283400809717	0.38846153846153847	69.0
weighted avg	0.5670498084291188	0.6956521739130435	0.6181159420289855	69.0
