	precision	recall	f1-score	support
-1	0.47619047619047616	0.7692307692307693	0.5882352941176471	13.0
0	1.0	1.0	1.0	8.0
1	1.0	1.0	1.0	10.0
2	1.0	1.0	1.0	4.0
3	0.5714285714285714	1.0	0.7272727272727273	4.0
4	0.0	0.0	0.0	3.0
5	1.0	0.75	0.8571428571428571	4.0
6	0.0	0.0	0.0	3.0
7	0.0	0.0	0.0	2.0
8	0.0	0.0	0.0	4.0
9	0.0	0.0	0.0	3.0
10	0.7333333333333333	1.0	0.8461538461538461	11.0
accuracy	0.7246376811594203	0.7246376811594203	0.7246376811594203	0.7246376811594203
macro avg	0.48174603174603176	0.5432692307692307	0.5015670603905897	69.0
weighted avg	0.6165631469979296	0.7246376811594203	0.6564117894041168	69.0
