	precision	recall	f1-score	support
0	0.8888888888888888	0.8	0.8421052631578947	10.0
1	0.8	1.0	0.8888888888888888	8.0
2	0.7428571428571429	0.9629629629629629	0.8387096774193549	27.0
3	1.0	1.0	1.0	8.0
4	1.0	0.4	0.5714285714285714	5.0
5	0.0	0.0	0.0	5.0
6	1.0	1.0	1.0	4.0
7	0.0	0.0	0.0	2.0
accuracy	0.8115942028985508	0.8115942028985508	0.8115942028985508	0.8115942028985508
macro avg	0.678968253968254	0.6453703703703704	0.6426415501118388	69.0
weighted avg	0.7586381412468369	0.8115942028985508	0.7686154766689202	69.0
