protein_id	true_label	true_label_numeric	kmeans_cluster	hierarchical_cluster	dbscan_cluster	hdbscan_cluster	spectral_cluster
ARD1_CAEEL	Arf_fam	0	4	3	0	0	5
ARF1_ARATH	Arf_fam	0	2	4	1	1	3
ARF1_DROME	Arf_fam	0	2	4	1	1	3
ARF1_MOUSE	Arf_fam	0	2	4	1	1	3
ARF1_YEAST	Arf_fam	0	2	4	1	1	3
ARL1_CAEEL	Arf_fam	0	2	4	1	1	3
ARL1_DROME	Arf_fam	0	2	4	1	1	3
ARL1_MOUSE	Arf_fam	0	2	4	1	1	3
ARL1_YEAST	Arf_fam	0	2	4	1	1	3
CDC42_CAEEL	Rho_fam	6	2	7	2	2	1
CDC42_DROME	Rho_fam	6	2	7	2	2	1
CDC42_MOUSE	Rho_fam	6	2	7	2	2	1
CDC42_YEAST	Rho_fam	6	2	7	2	2	1
GEM1_YEAST	Mitoch_Rho_fam	1	5	3	0	0	5
GSP1_YEAST	Ran_fam	3	1	8	3	4	4
GSP2_YEAST	Ran_fam	3	1	8	3	4	4
IFT22_CAEEL	Rab_fam	2	3	5	-1	-1	2
MIRO1_ARATH	Mitoch_Rho_fam	1	5	3	0	0	5
MIRO1_MOUSE	Mitoch_Rho_fam	1	5	3	0	0	5
MIRO2_ARATH	Mitoch_Rho_fam	1	5	3	0	0	5
MIRO2_MOUSE	Mitoch_Rho_fam	1	5	3	0	0	5
MIRO3_ARATH	Mitoch_Rho_fam	1	5	3	0	0	5
MIRO_CAEEL	Mitoch_Rho_fam	1	5	3	0	0	5
MIRO_DROME	Mitoch_Rho_fam	1	5	3	0	0	5
O18332_DROME	Rab_fam	2	0	2	4	6	1
Q18246_CAEEL	Ras_fam	4	0	6	5	5	2
Q9UAQ6_CAEEL	Rab_fam	2	0	2	4	6	1
RAB10_MOUSE	Rab_fam	2	0	2	4	6	1
RAB13_MOUSE	Rab_fam	2	0	2	4	6	1
RAB14_MOUSE	Rab_fam	2	0	2	4	6	1
RAB15_MOUSE	Rab_fam	2	0	2	4	6	1
RAB17_MOUSE	Rab_fam	2	3	0	6	-1	0
RAB18_CAEEL	Rab_fam	2	3	1	6	7	0
RAB18_MOUSE	Rab_fam	2	0	2	4	6	1
RAB19_MOUSE	Rab_fam	2	3	0	6	7	0
RAB1A_MOUSE	Rab_fam	2	0	2	4	6	1
RAB1B_MOUSE	Rab_fam	2	0	2	4	6	1
RAB7A_MOUSE	Rab_fam	2	0	2	4	-1	1
RAB7B_MOUSE	Rab_fam	2	3	1	6	7	0
RAB7L_MOUSE	Rab_fam	2	3	0	6	-1	0
RAB7_ARATH	Rab_fam	2	0	2	4	-1	1
RABL3_MOUSE	Rab_fam	2	3	5	-1	3	2
RABL5_MOUSE	Rab_fam	2	3	5	-1	3	2
RAN1_ARATH	Ran_fam	3	1	8	3	4	4
RAN2_ARATH	Ran_fam	3	1	8	3	4	4
RAN3_ARATH	Ran_fam	3	1	8	3	4	4
RAN_CAEEL	Ran_fam	3	1	8	3	4	4
RAN_DROME	Ran_fam	3	1	8	3	4	4
RAN_MOUSE	Ran_fam	3	1	8	3	4	4
RAP1A_MOUSE	Ras_fam	4	0	6	5	5	2
RAP1B_MOUSE	Ras_fam	4	0	6	5	5	2
RAS3_DROME	Ras_fam	4	0	6	5	5	2
RAYL_MOUSE	Rab_fam	2	3	0	-1	-1	2
RBD2A_ARATH	Rab_fam	2	0	2	4	6	1
RBL2A_MOUSE	Rab_fam	2	3	5	-1	-1	2
REBL1_MOUSE	Rheb_fam	5	3	0	7	-1	0
RHEB1_CAEEL	Rheb_fam	5	3	1	6	7	0
RHEB_DROME	Rheb_fam	5	3	0	7	-1	2
RHEB_MOUSE	Rheb_fam	5	0	6	5	5	2
RHEB_YEAST	Rheb_fam	5	3	1	6	7	0
RSR1_YEAST	Ras_fam	4	3	1	-1	-1	0
SRPB_YEAST	SRP_fam	7	3	5	-1	-1	2
SRPRB_MOUSE	SRP_fam	7	3	5	-1	3	2
TRI23_ARDF1_MOUSE	Arf_fam	0	5	3	0	0	5
YPT1_YEAST	Rab_fam	2	0	2	4	6	1
YPT32_YEAST	Rab_fam	2	3	1	6	7	0
YPT53_YEAST	Rab_fam	2	3	1	6	7	0
YPT6_YEAST	Rab_fam	2	3	1	6	-1	0
YPT7_YEAST	Rab_fam	2	3	1	6	7	0
