protein_id	true_label	true_label_numeric	kmeans_cluster	hierarchical_cluster	dbscan_cluster	hdbscan_cluster	spectral_cluster
ARD1_CAEEL	Arf_fam	0	5	0	-1	4	3
ARF1_ARATH	Arf_fam	0	2	6	0	2	4
ARF1_DROME	Arf_fam	0	2	6	0	2	4
ARF1_MOUSE	Arf_fam	0	2	6	0	2	4
ARF1_YEAST	Arf_fam	0	2	6	0	2	4
ARL1_CAEEL	Arf_fam	0	2	6	0	2	4
ARL1_DROME	Arf_fam	0	2	6	0	2	4
ARL1_MOUSE	Arf_fam	0	2	6	0	2	4
ARL1_YEAST	Arf_fam	0	2	6	-1	2	4
CDC42_CAEEL	Rho_fam	6	6	5	1	3	1
CDC42_DROME	Rho_fam	6	6	5	1	3	1
CDC42_MOUSE	Rho_fam	6	6	5	1	3	1
CDC42_YEAST	Rho_fam	6	6	5	1	3	1
GEM1_YEAST	Mitoch_Rho_fam	1	5	0	2	4	3
GSP1_YEAST	Ran_fam	3	3	9	3	0	2
GSP2_YEAST	Ran_fam	3	3	9	3	0	2
IFT22_CAEEL	Rab_fam	2	5	0	-1	4	3
MIRO1_ARATH	Mitoch_Rho_fam	1	5	0	2	4	3
MIRO1_MOUSE	Mitoch_Rho_fam	1	5	0	2	4	3
MIRO2_ARATH	Mitoch_Rho_fam	1	5	0	2	4	3
MIRO2_MOUSE	Mitoch_Rho_fam	1	5	0	2	4	3
MIRO3_ARATH	Mitoch_Rho_fam	1	5	0	2	4	3
MIRO_CAEEL	Mitoch_Rho_fam	1	5	0	2	4	3
MIRO_DROME	Mitoch_Rho_fam	1	5	0	2	4	3
O18332_DROME	Rab_fam	2	6	7	4	5	1
Q18246_CAEEL	Ras_fam	4	0	4	5	1	1
Q9UAQ6_CAEEL	Rab_fam	2	6	7	4	5	1
RAB10_MOUSE	Rab_fam	2	6	7	4	5	1
RAB13_MOUSE	Rab_fam	2	6	7	4	5	1
RAB14_MOUSE	Rab_fam	2	6	7	4	5	1
RAB15_MOUSE	Rab_fam	2	6	7	4	5	1
RAB17_MOUSE	Rab_fam	2	4	1	-1	-1	0
RAB18_CAEEL	Rab_fam	2	4	1	6	5	0
RAB18_MOUSE	Rab_fam	2	4	1	6	-1	0
RAB19_MOUSE	Rab_fam	2	4	1	6	5	0
RAB1A_MOUSE	Rab_fam	2	6	7	4	5	1
RAB1B_MOUSE	Rab_fam	2	6	7	4	5	1
RAB7A_MOUSE	Rab_fam	2	3	3	7	0	1
RAB7B_MOUSE	Rab_fam	2	4	1	8	4	0
RAB7L_MOUSE	Rab_fam	2	1	3	-1	-1	0
RAB7_ARATH	Rab_fam	2	6	3	7	-1	1
RABL3_MOUSE	Rab_fam	2	5	0	-1	-1	3
RABL5_MOUSE	Rab_fam	2	5	0	-1	-1	3
RAN1_ARATH	Ran_fam	3	3	9	3	0	2
RAN2_ARATH	Ran_fam	3	3	9	3	0	2
RAN3_ARATH	Ran_fam	3	3	9	3	0	2
RAN_CAEEL	Ran_fam	3	3	9	3	0	2
RAN_DROME	Ran_fam	3	3	9	3	0	2
RAN_MOUSE	Ran_fam	3	3	9	3	0	2
RAP1A_MOUSE	Ras_fam	4	0	4	5	1	1
RAP1B_MOUSE	Ras_fam	4	0	4	5	1	1
RAS3_DROME	Ras_fam	4	0	4	5	1	1
RAYL_MOUSE	Rab_fam	2	1	0	-1	-1	3
RBD2A_ARATH	Rab_fam	2	6	7	4	5	1
RBL2A_MOUSE	Rab_fam	2	3	8	-1	-1	3
REBL1_MOUSE	Rheb_fam	5	1	2	9	4	0
RHEB1_CAEEL	Rheb_fam	5	1	0	9	4	3
RHEB_DROME	Rheb_fam	5	1	2	9	4	0
RHEB_MOUSE	Rheb_fam	5	0	2	-1	-1	1
RHEB_YEAST	Rheb_fam	5	1	0	-1	4	3
RSR1_YEAST	Ras_fam	4	0	4	-1	-1	0
SRPB_YEAST	SRP_fam	7	5	0	2	4	3
SRPRB_MOUSE	SRP_fam	7	5	0	2	4	3
TRI23_ARDF1_MOUSE	Arf_fam	0	2	6	0	2	4
YPT1_YEAST	Rab_fam	2	6	7	4	5	1
YPT32_YEAST	Rab_fam	2	4	1	-1	5	0
YPT53_YEAST	Rab_fam	2	4	1	8	5	0
YPT6_YEAST	Rab_fam	2	4	1	8	5	0
YPT7_YEAST	Rab_fam	2	4	1	-1	-1	0
