protein_id	true_label	true_label_numeric	kmeans_cluster	hierarchical_cluster	dbscan_cluster	hdbscan_cluster	spectral_cluster
ARD1_CAEEL	Arf_fam	0	1	2	-1	-1	1
ARF1_ARATH	Arf_fam	0	2	6	0	3	3
ARF1_DROME	Arf_fam	0	2	6	0	3	3
ARF1_MOUSE	Arf_fam	0	2	6	0	3	3
ARF1_YEAST	Arf_fam	0	2	6	-1	-1	3
ARL1_CAEEL	Arf_fam	0	0	5	1	0	5
ARL1_DROME	Arf_fam	0	0	5	1	0	5
ARL1_MOUSE	Arf_fam	0	0	5	1	0	5
ARL1_YEAST	Arf_fam	0	0	5	1	0	5
CDC42_CAEEL	Rho_fam	6	5	7	2	4	2
CDC42_DROME	Rho_fam	6	5	7	2	4	2
CDC42_MOUSE	Rho_fam	6	5	7	2	4	2
CDC42_YEAST	Rho_fam	6	5	7	2	4	2
GEM1_YEAST	Mitoch_Rho_fam	1	1	2	3	6	1
GSP1_YEAST	Ran_fam	3	3	3	4	1	6
GSP2_YEAST	Ran_fam	3	3	3	4	1	6
IFT22_CAEEL	Rab_fam	2	1	2	-1	-1	1
MIRO1_ARATH	Mitoch_Rho_fam	1	1	2	3	6	1
MIRO1_MOUSE	Mitoch_Rho_fam	1	1	2	3	6	1
MIRO2_ARATH	Mitoch_Rho_fam	1	1	2	3	6	1
MIRO2_MOUSE	Mitoch_Rho_fam	1	1	2	3	6	1
MIRO3_ARATH	Mitoch_Rho_fam	1	1	2	3	6	1
MIRO_CAEEL	Mitoch_Rho_fam	1	1	2	3	6	1
MIRO_DROME	Mitoch_Rho_fam	1	1	2	3	6	1
O18332_DROME	Rab_fam	2	2	6	5	3	3
Q18246_CAEEL	Ras_fam	4	0	1	6	2	2
Q9UAQ6_CAEEL	Rab_fam	2	2	6	5	3	3
RAB10_MOUSE	Rab_fam	2	0	1	7	3	2
RAB13_MOUSE	Rab_fam	2	0	1	7	-1	2
RAB14_MOUSE	Rab_fam	2	0	1	-1	-1	2
RAB15_MOUSE	Rab_fam	2	0	0	-1	7	4
RAB17_MOUSE	Rab_fam	2	1	0	-1	7	4
RAB18_CAEEL	Rab_fam	2	4	4	-1	-1	0
RAB18_MOUSE	Rab_fam	2	0	0	-1	7	4
RAB19_MOUSE	Rab_fam	2	4	4	-1	7	4
RAB1A_MOUSE	Rab_fam	2	2	6	5	3	3
RAB1B_MOUSE	Rab_fam	2	2	6	5	3	3
RAB7A_MOUSE	Rab_fam	2	0	0	8	-1	2
RAB7B_MOUSE	Rab_fam	2	1	0	-1	7	4
RAB7L_MOUSE	Rab_fam	2	1	0	-1	7	4
RAB7_ARATH	Rab_fam	2	0	0	8	-1	4
RABL3_MOUSE	Rab_fam	2	1	2	-1	-1	1
RABL5_MOUSE	Rab_fam	2	1	2	-1	7	1
RAN1_ARATH	Ran_fam	3	3	3	4	1	6
RAN2_ARATH	Ran_fam	3	3	3	4	1	6
RAN3_ARATH	Ran_fam	3	3	3	4	1	6
RAN_CAEEL	Ran_fam	3	3	3	4	1	6
RAN_DROME	Ran_fam	3	3	3	4	1	6
RAN_MOUSE	Ran_fam	3	3	3	4	1	6
RAP1A_MOUSE	Ras_fam	4	0	1	6	2	2
RAP1B_MOUSE	Ras_fam	4	0	1	6	2	2
RAS3_DROME	Ras_fam	4	0	1	6	2	2
RAYL_MOUSE	Rab_fam	2	1	0	-1	7	4
RBD2A_ARATH	Rab_fam	2	2	6	5	3	3
RBL2A_MOUSE	Rab_fam	2	1	0	-1	-1	4
REBL1_MOUSE	Rheb_fam	5	1	0	-1	7	4
RHEB1_CAEEL	Rheb_fam	5	4	4	-1	5	0
RHEB_DROME	Rheb_fam	5	4	4	-1	5	0
RHEB_MOUSE	Rheb_fam	5	0	0	-1	-1	4
RHEB_YEAST	Rheb_fam	5	4	4	-1	5	0
RSR1_YEAST	Ras_fam	4	4	4	-1	-1	0
SRPB_YEAST	SRP_fam	7	1	2	-1	-1	1
SRPRB_MOUSE	SRP_fam	7	1	2	-1	-1	1
TRI23_ARDF1_MOUSE	Arf_fam	0	1	2	-1	-1	1
YPT1_YEAST	Rab_fam	2	2	6	-1	-1	3
YPT32_YEAST	Rab_fam	2	4	4	-1	5	0
YPT53_YEAST	Rab_fam	2	4	4	-1	5	0
YPT6_YEAST	Rab_fam	2	4	4	-1	5	0
YPT7_YEAST	Rab_fam	2	4	4	-1	5	0
